номер_листа;обозначение_линии;длина_мм;длина_м;формула;статус;замечания
20;PW1_1009;67345;67,345;706 + 4024 + 178 + 4960 + 305 + 305 + 2613 + 305 + 9629 + 5600 + 21676 + 305 + 2507 + 14054 + 178 = 67345 мм;ok;"локальная модель, без API; авто: D9 вернул участок, D12 вернул участок, D13 вернул участок, D19 вернул участок, D11 вернул в сумму; авто: D20 вернул участок; авто: D7 внутри D8, D16 внутри D18, D19 внутри D20; авто: D14 полный участок, D9 внутри D11, D12 внутри D14, D18 внутри D20"
21;PW1_1009;22419;22,419;305 + 305 + 12898 + 305 + 3311 + 216 + 216 + 805 + 582 + 556 + 127 + 92 + 88 + 2613 = 22419 мм;ok;"локальная модель, без API; авто: D6 вернул участок; авто: D4 внутри D6; авто: D2 внутри D6, D5 внутри D6, D10 внутри D6"
22;PW1_1009;41278;41,278;178 + 2300 + 5657 + 305 + 305 + 2852 + 8373 + 2103 + 1754 + 3494 + 2650 + 2650 + 8479 + 178 = 41278 мм;ok;"локальная модель, без API; авто: D20 вернул участок, D21 вернул участок; авто: D19 внутри D21; авто: D2 внутри D3, D18 внутри D21, D20 внутри D21; авто: D9 внутри D8, D10 внутри D8, D18 вернул участок"
23;PW1_1010;19018;19,018;152 + 807 + 1607 + 1613 + 305 + 305 + 2007 + 3196 + 8416 + 305 + 305 = 19018 мм;ok;"локальная модель, без API; авто: D11 вернул участок; авто: D8 внутри D9, D10 внутри D11, D12 внутри D11"
24;PW1_1010;27566;27,566;5608 + 305 + 305 + 3603 + 305 + 305 + 807 + 4366 + 128 + 140 + 2365 + 1500 + 153 + 1532 + 6144 = 27566 мм;ok;"локальная модель, без API; авто: D14 внутри D15, D10 два прогона с D12; авто: D10 внутри D14, D10 два прогона с D12; авто: D10 внутри D14, D10 два прогона с D12; авто: D10 внутри D14, D10 два прогона с D12; авто: D10 внутри D14, D10 два прогона с D12; авто: D10 внутри D14; авто: D1 внутри D2, D7 вернул участок, D10 вернул полный участок; авто: D11 полный участок, D7 внутри участка, D10 внутри участка, D7 вернул участок, D10 вернул полный участок; авто: D7 внутри участка, D10 внутри участка, D7 вернул участок, D10 вернул полный участок"
25;PW1_1010;14766;14,766;153 + 605 + 597 + 1206 + 305 + 305 + 6478 + 305 + 305 + 1012 + 3495 = 14766 мм;ok;"локальная модель, без API; авто: D7 габарит Н.О., D8 внутри D10, D7 полный размер; авто: D7 габарит Н.О., D7 полный размер; авто: D7 габарит Н.О., D7 полный размер; авто: D7 габарит Н.О., D7 полный размер; авто: D7 габарит Н.О., D7 полный размер; авто: D7 габарит Н.О., D7 полный размер; авто: D7 габарит Н.О., D7 полный размер; авто: D7 габарит Н.О., D7 полный размер; авто: D7 габарит Н.О., D8 вернул участок, D9 вернул участок, D7 полный размер; авто: D7 габарит Н.О., D7 полный размер; авто: D7 габарит Н.О., D7 полный размер; авто: D7 габарит Н.О., D8 внутри участка, D9 внутри участка, D8 вернул участок, D9 вернул участок, D7 полный размер; авто: D7 габарит Н.О., D8 внутри участка, D9 внутри участка, D8 вернул участок, D9 вернул участок, D7 полный размер"
26;PW1_1011;27544;27,544;152 + 1607 + 1613 + 305 + 305 + 2007 + 3196 + 305 + 8416 + 305 + 305 + 2505 + 5913 + 305 + 305 = 27544 мм;ok;"локальная модель, без API; авто: D15 вернул участок; авто: D4 внутри D11; авто: D8 внутри D9, D4 вернул участок"
27;PW1_1011;31921;31,921;3603 + 305 + 305 + 806 + 4364 + 128 + 140 + 2371 + 1500 + 153 + 1532 + 6145 + 153 + 607 + 600 + 1206 + 305 + 305 + 6478 + 305 + 305 + 305 = 31921 мм;ok;"локальная модель, без API; авто: D18 габарит Н.О., D18 полный размер; авто: D18 габарит Н.О., D18 полный размер; авто: D18 габарит Н.О., D18 полный размер; авто: D18 габарит Н.О., D18 полный размер; авто: D18 габарит Н.О., D18 полный размер; авто: D18 габарит Н.О., D18 полный размер; авто: D18 габарит Н.О., D18 полный размер; авто: D18 габарит Н.О., D18 полный размер; авто: D18 габарит Н.О., D4 внутри D5, D12 внутри D23, D3 вернул участок, D18 полный размер; авто: D18 габарит Н.О., D18 полный размер; авто: D18 габарит Н.О., D18 полный размер; авто: D18 габарит Н.О., D3 внутри участка, D3 вернул участок, D4 вернул участок, D12 вернул участок, D18 полный размер; авто: D18 габарит Н.О., D3 внутри участка, D3 вернул участок, D18 полный размер"
28;PW1_1011;61497;61,497;706 + 3486 + 178 + 4960 + 305 + 2613 + 305 + 7629 + 1900 + 21676 + 2507 + 1000 + 14054 + 178 = 61497 мм;ok;"локальная модель, без API; авто: D16 вернул участок, D19 вернул участок, D22 вернул участок, D23 вернул участок; авто: D14 внутри D17; авто: D6 внутри D1, D7 внутри D15, D8 внутри D9, D10 внутри D15, D18 внутри D15, D19 внутри D15, D17 вернул полный участок, D17 габарит рядом с D13; авто: D17 вернул полный участок, D17 габарит рядом с D13; авто: D17 вернул полный участок, D17 габарит рядом с D13; авто: D16 внутри D12, D22 внутри D23, D6 вернул участок, D17 вернул полный участок, D13 внутри D17; авто: D13 вернул участок, D13 внутри D17"
29;PW1_1011;24655;24,655;305 + 305 + 12895 + 305 + 3311 + 305 + 216 + 216 + 902 + 638 + 638 + 127 + 4492 = 24655 мм;ok;"локальная модель, без API; авто: D6 вернул участок; авто: D4 внутри D6; авто: D2 внутри D6, D5 внутри D6, D7 внутри D6"
30;PW1_1012;28859;28,859;152 + 807 + 1607 + 1613 + 305 + 305 + 2007 + 3196 + 305 + 8727 + 5602 + 305 + 305 + 3623 = 28859 мм;ok;"локальная модель, без API; авто: D11 вернул участок, D14 вернул участок; авто: D8 внутри D9, D12 внутри D11, D13 внутри D11"
31;PW1_1012;31003;31,003;305 + 305 + 3366 + 128 + 140 + 102 + 2370 + 946 + 1500 + 152 + 1532 + 6146 + 153 + 605 + 1206 + 305 + 305 + 6498 + 305 + 305 + 4329 = 31003 мм;ok;"локальная модель, без API; авто: D20 габарит Н.О., D21 внутри D23, D5 вернул участок, D6 вернул участок, D20 полный размер; авто: D20 габарит Н.О., D20 полный размер; авто: D20 габарит Н.О., D20 полный размер; авто: D20 габарит Н.О., D20 полный размер; авто: D20 габарит Н.О., D23 внутри D24, D20 полный размер; авто: D20 габарит Н.О., D20 полный размер; авто: D20 габарит Н.О., D20 полный размер; авто: D20 габарит Н.О., D20 полный размер; авто: D20 габарит Н.О., D6 внутри D16, D7 внутри D5, D10 внутри D4, D12 внутри D4, D21 вернул участок, D20 полный размер; авто: D20 габарит Н.О., D20 полный размер; авто: D20 габарит Н.О., D20 полный размер; авто: D20 габарит Н.О., D16 внутри D17, D21 внутри участка, D6 вернул участок, D7 вернул участок, D10 вернул участок, D12 вернул участок, D21 вернул участок, D20 полный размер; авто: D20 габарит Н.О., D21 внутри участка, D21 вернул участок, D20 полный размер"
32;PW1_1013;3097;3,097;148 + 244 + 2705 = 3097 мм;ok;локальная модель, без API
33;PW1_1014;3099;3,099;148 + 244 + 2707 = 3099 мм;ok;локальная модель, без API
34;PW1_1015;3098;3,098;148 + 244 + 2706 = 3098 мм;ok;локальная модель, без API
35;PW1_1016;3100;3,100;148 + 244 + 2708 = 3100 мм;ok;локальная модель, без API
36;PW2_1010;11803;11,803;249 + 624 + 175 + 180 + 995 + 1575 + 5114 + 140 + 911 + 1350 + 300 + 190 = 11803 мм;ok;"локальная модель, без API; авто: D2 габарит Н.О., D7 вернул участок, D3 вернул длину, D5 вернул длину, D12 вернул длину, D13 вернул длину, D2 полный размер; авто: D2 габарит Н.О., D2 полный размер; авто: D2 габарит Н.О., D2 полный размер; авто: D2 габарит Н.О., D2 полный размер; авто: D2 габарит Н.О., D2 полный размер; авто: D2 габарит Н.О., D2 полный размер; авто: D2 габарит Н.О., D2 полный размер; авто: D2 габарит Н.О., D2 полный размер; авто: D2 габарит Н.О., D4 внутри D1, D2 полный размер; авто: D2 габарит Н.О., D2 полный размер; авто: D2 габарит Н.О., D2 полный размер; авто: D2 габарит Н.О., D4 вернул участок, D2 полный размер; авто: D2 габарит Н.О., D2 полный размер"
37;PW2_1010;10229;10,229;1831 + 218 + 165 + 3000 + 1689 + 2001 + 1100 + 225 = 10229 мм;ok;"локальная модель, без API; авто: D11 вернул длину; авто: D9 внутри D10; авто: D5 внутри D6"
38;PW2_1010;11104;11,104;318 + 730 + 218 + 276 + 165 + 335 + 895 + 564 + 600 + 869 + 5341 + 793 = 11104 мм;ok;"локальная модель, без API; авто: D6 внутри D8; авто: D6 вернул участок"
39;PW2_1010;13500;13,500;175 + 175 + 6200 + 180 + 2359 + 3921 + 300 + 190 = 13500 мм;ok;"локальная модель, без API; авто: D7 вернул участок, D12 вернул длину, D3 полный размер; авто: D3 габарит Н.О., D3 полный размер; авто: D3 габарит Н.О., D3 полный размер; авто: D3 габарит Н.О., D3 полный размер; авто: D3 габарит Н.О., D3 полный размер; авто: D3 габарит Н.О., D3 полный размер; авто: D3 габарит Н.О., D3 полный размер; авто: D3 габарит Н.О., D3 полный размер; авто: D3 габарит Н.О., D2 внутри D4, D6 внутри D7, D3 полный размер; авто: D3 габарит Н.О., D3 полный размер; авто: D3 габарит Н.О., D3 полный размер; авто: D3 габарит Н.О."
40;PW2_1011;18220;18,220;2395 + 3050 + 3800 + 4000 + 800 + 3800 + 375 = 18220 мм;ok;локальная модель, без API
41;PW2_1011;24082;24,082;11525 + 1514 + 1400 + 2963 + 300 + 6200 + 180 = 24082 мм;ok;"локальная модель, без API; авто: D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D1 внутри D2, D5 внутри D10, D9 внутри D10, D2 вернул полный участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул полный участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул полный участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D3 полный размер; авто: D3 габарит Н.О., D3 полный размер"
42;PW2_1012;8002;8,002;1339 + 2000 + 1400 + 2963 + 300 = 8002 мм;ok;"локальная модель, без API; авто: D5 вернул длину"
43;PW2_1013;6580;6,580;2359 + 3921 + 300 = 6580 мм;ok;"локальная модель, без API; авто: D3 вернул длину"
44;PW2_1014;15892;15,892;280 + 178 + 181 + 140 + 245 + 780 + 576 + 1100 + 667 + 928 + 4230 + 421 + 298 + 298 + 400 + 2000 + 3050 + 120 = 15892 мм;ok;локальная модель, без API
45;PW2_1014;32897;32,897;8430 + 1300 + 5300 + 9256 + 1800 + 900 + 3983 + 778 + 550 + 550 + 50 = 32897 мм;ok;"локальная модель, без API; авто: D7 вернул участок; авто: D3 полный участок, D1 внутри D3, D2 внутри D3, D5 внутри D7"
46;PW2_1014;30737;30,737;13767 + 2600 + 10750 + 3500 + 120 = 30737 мм;ok;"локальная модель, без API; авто: D7 габарит Н.О., D12 габарит Н.О., D13 координата, D2 вернул участок, D3 вернул участок, D7 полный размер, D12 полный размер; авто: D7 габарит Н.О., D12 габарит Н.О., D7 полный размер, D12 полный размер; авто: D7 габарит Н.О., D12 габарит Н.О., D7 полный размер, D12 полный размер; авто: D7 габарит Н.О., D12 габарит Н.О., D7 полный размер, D12 полный размер; авто: D7 габарит Н.О., D12 габарит Н.О., D7 полный размер, D12 полный размер; авто: D7 габарит Н.О., D12 габарит Н.О., D7 полный размер, D12 полный размер; авто: D7 габарит Н.О., D12 габарит Н.О., D7 полный размер, D12 полный размер; авто: D7 габарит Н.О., D12 габарит Н.О., D7 полный размер, D12 полный размер; авто: D7 габарит Н.О., D12 габарит Н.О., D2 внутри D3, D6 внутри D8, D7 полный размер, D12 полный размер; авто: D7 габарит Н.О., D12 габарит Н.О., D7 полный размер, D12 полный размер; авто: D7 габарит Н.О., D12 габарит Н.О., D7 полный размер, D12 полный размер; авто: D7 габарит Н.О., D9 полный участок, D12 габарит Н.О., D1 внутри D3, D8 внутри D9"
47;PW2_1014;16875;16,875;443 + 1030 + 1184 + 543 + 6511 + 296 + 209 + 209 + 650 + 3100 + 2700 = 16875 мм;ok;"локальная модель, без API; авто: D7 внутри D10, D6 вернул участок; авто: D5 внутри D6, D9 внутри D3, D7 вернул участок; ручной визуальный аудит; авто: D13 габарит пара, D7 внутри участка, D7 вернул участок, D9 вернул участок, D11 вернул участок, D12 вернул участок; авто: D7 внутри участка, D7 вернул участок"
48;PW2_1014;23471;23,471;80 + 354 + 250 + 250 + 1825 + 1490 + 120 + 2800 + 12013 + 354 + 250 + 250 + 1825 + 1490 + 120 = 23471 мм;ok;"локальная модель, без API; авто: D13 габарит Н.О., D8 вернул длину, D13 полный размер, D10 опора в D13, D11 опора в D13, D19 опора в D13; авто: D13 габарит Н.О., D10 вернул участок, D11 вернул участок, D19 вернул участок, D13 полный размер, D10 опора в D13, D11 опора в D13, D19 опора в D13; авто: D13 габарит Н.О., D10 вернул участок, D11 вернул участок, D19 вернул участок, D13 полный размер, D10 опора в D13, D11 опора в D13, D19 опора в D13; авто: D13 габарит Н.О., D10 вернул участок, D11 вернул участок, D19 вернул участок, D13 полный размер, D10 опора в D13, D11 опора в D13, D19 опора в D13; авто: D13 габарит Н.О., D10 вернул участок, D11 вернул участок, D19 вернул участок, D13 полный размер, D10 опора в D13, D11 опора в D13, D19 опора в D13; авто: D13 габарит Н.О., D10 вернул участок, D11 вернул участок, D19 вернул участок, D13 полный размер, D10 опора в D13, D11 опора в D13, D19 опора в D13; авто: D13 габарит Н.О., D10 вернул участок, D11 вернул участок, D19 вернул участок, D13 полный размер, D10 опора в D13, D11 опора в D13, D19 опора в D13; авто: D13 габарит Н.О., D10 вернул участок, D11 вернул участок, D19 вернул участок, D13 полный размер, D10 опора в D13, D11 опора в D13, D19 опора в D13; авто: D13 габарит Н.О., D5 внутри D6, D9 внутри D11, D16 внутри D17, D10 вернул участок, D11 вернул полный участок, D19 вернул участок, D13 полный размер, D10 опора в D13, D11 опора в D13, D19 опора в D13; авто: D13 габарит Н.О., D10 вернул участок, D11 вернул полный участок, D19 вернул участок, D13 полный размер, D10 опора в D13, D11 опора в D13, D19 опора в D13; авто: D13 габарит Н.О., D10 вернул участок, D11 вернул полный участок, D19 вернул участок, D13 полный размер, D10 опора в D13, D11 опора в D13, D19 опора в D13; ручной визуальный аудит; авто: D13 габарит Н.О., D12 внутри D13, D17 внутри D18, D10 вернул участок, D16 вернул участок, D19 вернул участок, D13 полный размер; авто: D13 габарит Н.О., D13 полный размер"
49;PW2_1015;9726;9,726;282 + 280 + 178 + 181 + 140 + 495 + 1380 + 576 + 667 + 4480 + 421 + 298 + 298 + 50 = 9726 мм;ok;"локальная модель, без API; ручной визуальный аудит; авто: D11 внутри D12"
50;PW2_1015;8600;8,600;350 + 2750 + 1700 + 3800 = 8600 мм;ok;"локальная модель, без API; авто: D5 габарит Н.О., D5 полный размер; авто: D5 габарит Н.О., D6 габарит пара, D5 полный размер; авто: D5 габарит Н.О., D5 полный размер; авто: D5 габарит Н.О., D5 полный размер; авто: D5 габарит Н.О., D5 полный размер; авто: D5 габарит Н.О., D5 полный размер; авто: D5 габарит Н.О., D5 полный размер; авто: D5 габарит Н.О., D5 полный размер; авто: D5 габарит Н.О., D2 внутри D3, D5 полный размер; авто: D5 габарит Н.О., D5 полный размер; авто: D5 габарит Н.О., D5 полный размер; ручной визуальный аудит; авто: D5 габарит Н.О., D5 полный размер; авто: D5 габарит Н.О., D5 полный размер"
51;PW2_1015;12596;12,596;120 + 1050 + 9506 + 1800 + 120 = 12596 мм;ok;"локальная модель, без API; авто: D4 вернул участок, D5 вернул участок; авто: D4 внутри D5; ручной визуальный аудит; авто: D3 внутри D5"
52;PW2_1015;33868;33,868;530 + 3613 + 778 + 550 + 550 + 13817 + 350 + 1350 + 5000 + 7330 = 33868 мм;ok;"локальная модель, без API; авто: D11 габарит Н.О., D8 вернул участок, D11 полный размер; авто: D11 габарит Н.О., D11 полный размер; авто: D11 габарит Н.О., D11 полный размер; авто: D11 габарит Н.О., D11 полный размер; авто: D11 габарит Н.О., D11 полный размер; авто: D11 габарит Н.О., D11 полный размер; авто: D11 габарит Н.О., D11 полный размер; авто: D11 габарит Н.О., D11 полный размер; авто: D11 габарит Н.О., D6 внутри D2, D10 внутри D12, D11 полный размер; авто: D11 габарит Н.О., D11 полный размер; авто: D11 габарит Н.О., D11 полный размер; ручной визуальный аудит; авто: D11 габарит Н.О., D7 внутри D8, D10 вернул участок, D11 полный размер; авто: D11 габарит Н.О., D11 полный размер"
53;PW2_1015;22453;22,453;120 + 7239 + 12640 + 1150 + 1184 + 120 = 22453 мм;ok;"локальная модель, без API; авто: D3 вернул участок; авто: D4 внутри D5; ручной визуальный аудит"
54;PW2_1015;24768;24,768;423 + 3817 + 6391 + 296 + 209 + 209 + 663 + 3251 + 2587 + 6922 = 24768 мм;ok;"локальная модель, без API; авто: D5 вернул участок; ручной визуальный аудит; авто: D5 внутри участка, D5 вернул участок; авто: D5 внутри участка, D5 вернул участок"
55;PW2_1015;20671;20,671;80 + 354 + 250 + 250 + 1825 + 1490 + 120 + 12013 + 354 + 250 + 250 + 1825 + 1490 + 120 = 20671 мм;ok;"локальная модель, без API; авто: D10 габарит Н.О., D4 вернул участок, D8 вернул длину, D19 вернул длину, D20 вернул длину, D10 полный размер; авто: D10 габарит Н.О., D10 полный размер; авто: D10 габарит Н.О., D10 полный размер; авто: D10 габарит Н.О., D10 полный размер; авто: D10 габарит Н.О., D11 внутри D13, D10 полный размер; авто: D10 габарит Н.О., D10 полный размер; авто: D10 габарит Н.О., D10 полный размер; авто: D10 габарит Н.О., D10 полный размер; авто: D10 габарит Н.О., D4 внутри D5, D9 внутри D11, D17 внутри D18, D11 вернул полный участок, D10 полный размер; авто: D10 габарит Н.О., D10 полный размер; авто: D10 габарит Н.О., D10 полный размер; ручной визуальный аудит; авто: D10 габарит Н.О., D5 внутри D6, D11 внутри D13, D12 внутри D13, D4 вернул участок, D13 вернул полный участок"
56;PW3_1005;44939;44,939;6062 + 450 + 813 + 2125 + 455 + 1146 + 8802 + 3801 + 3001 + 3801 + 14483 = 44939 мм;ok;"локальная модель, без API; авто: D3 внутри D4, D7 вернул участок, D15 вернул участок, D16 вернул участок, D2 вернул длину, D11 вернул длину; авто: D9 внутри D10, D15 внутри D16, D3 вернул участок; ручной визуальный аудит; авто: D8 полный участок, D3 внутри участка, D7 внутри D8, D12 внутри D13, D14 внутри D16, D3 вернул участок; авто: D3 внутри участка, D3 вернул участок"
57;PW3_1005;38198;38,198;220 + 200 + 2922 + 3579 + 3753 + 2676 + 225 + 8831 + 455 + 4997 + 225 + 476 + 200 + 3584 + 3753 + 479 + 450 + 446 + 57 + 450 + 220 = 38198 мм;ok;"локальная модель, без API; авто: D11 габарит Н.О., D14 вернул участок; авто: D3 внутри D4, D7 внутри D8, D13 внутри D14, D18 внутри D19; ручной визуальный аудит; авто: D6 внутри D11, D10 внутри D11, D3 вернул участок, D11 полный размер; авто: D11 габарит Н.О., D11 полный размер"
58;PW3_1005;21700;21,700;450 + 447 + 52 + 2500 + 1101 + 3801 + 2946 + 455 + 1300 + 2113 + 450 + 6085 = 21700 мм;ok;"локальная модель, без API; авто: D12 вернул длину; ручной визуальный аудит"
59;PW3_1005;18109;18,109;450 + 3001 + 2032 + 5047 + 455 + 1499 + 1060 + 1060 + 3505 = 18109 мм;ok;"локальная модель, без API; авто: D9 вернул длину; ручной визуальный аудит"
60;PW3_1005;20315;20,315;2051 + 1101 + 3801 + 2946 + 455 + 1300 + 2113 + 450 + 6098 = 20315 мм;ok;"локальная модель, без API; авто: D9 вернул длину; ручной визуальный аудит"
61;PW3_1005;44434;44,434;14483 + 3801 + 3001 + 3801 + 8802 + 455 + 1356 + 2169 + 450 + 6116 = 44434 мм;ok;"локальная модель, без API; авто: D2 вернул участок, D10 вернул участок, D15 вернул длину; авто: D9 внутри D10; авто: D4 внутри D8, D7 внутри D8, D11 внутри D8; ручной визуальный аудит; авто: D3 полный участок, D1 внутри D3, D2 внутри D3"
